Model:	LI-7810
SN:	TG10-01146
Software Version:	2.0.25
Timestamp:	2022-12-15 12:00:00
Timezone:	America/Toronto
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1671123690	127166032	11331	0	2022-12-15	12:01:30	6028.94	479.025	2062.67	39.461	55.0003	25.174	43.6554	0.00163162	12.2585	54.5005	-216	0.165177	15.7724	 44
DATA	1671123691	127166032	11335	0	2022-12-15	12:01:31	6030.39	478.146	2062.78	39.461	55.0003	25.1732	43.6554	0.00164366	12.2591	54.5005	-231.75	0.165177	15.7724	251
DATA	1671123692	127166032	11339	0	2022-12-15	12:01:32	6030.44	476.716	2062.59	39.4606	55.0003	25.1732	43.6554	0.00163868	12.2581	54.5005	-74.75	0.165177	15.7728	 16
DATA	1671123693	127166032	11343	0	2022-12-15	12:01:33	6028.99	475.958	2062.84	39.4606	55.0003	25.1711	43.6556	0.00163268	12.2574	54.5005	-230.25	0.165177	15.772	 11
DATA	1671123694	126800060	11347	0	2022-12-15	12:01:34	6029.19	475.135	2062.95	39.4602	55.0003	25.1699	43.6556	0.00163892	12.2584	54.5005	-140.5	0.165177	15.772	215
DATA	1671123695	126800060	11351	0	2022-12-15	12:01:35	6030.83	472.757	2063.19	39.4602	55.0003	25.1691	43.6556	0.00163445	12.2586	54.5005	-245.5	0.165177	15.7724	255
DATA	1671123696	126800060	11355	0	2022-12-15	12:01:36	6030.64	472.598	2063.03	39.4598	55.0003	25.1679	43.6556	0.00163267	12.2581	54.5005	-197.25	0.165177	15.7728	 77
DATA	1671123697	126800060	11359	0	2022-12-15	12:01:37	6032.06	473.296	2063.31	39.461	55.0003	25.1679	43.6556	0.0016366	12.2578	54.5005	-222.25	0.165177	15.7724	211
DATA	1671123698	126800060	11363	0	2022-12-15	12:01:38	6031.66	472.047	2062.99	39.4614	55.0003	25.1666	43.6554	0.00163679	12.2578	54.5005	-145.5	0.164991	15.7708	 26
DATA	1671123699	126800060	11367	0	2022-12-15	12:01:39	6032.47	472.985	2063.07	39.4619	55.0003	25.1658	43.6546	0.00162503	12.2583	54.5005	-156.5	0.16443	15.7712	214
DATA	1671123700	126800060	11371	0	2022-12-15	12:01:40	6032.04	473.201	2062.81	39.4623	55.0003	25.167	43.6546	0.00162689	12.2585	54.5005	-185.75	0.16443	15.7712	175
DATA	1671123701	126441001	11375	0	2022-12-15	12:01:41	6032.12	472.572	2062.64	39.4623	55.0003	25.167	43.6548	0.00163069	12.258	54.5005	-155	0.16443	15.7712	228
DATA	1671123702	126441001	11379	0	2022-12-15	12:01:42	6033.02	472.872	2062.82	39.4639	55.0006	25.1658	43.6548	0.00162479	12.2582	54.5005	-241	0.16443	15.7712	 95
DATA	1671123703	126441001	11383	0	2022-12-15	12:01:43	6033.61	473.701	2063.12	39.4623	55.0008	25.1634	43.6548	0.00162665	12.2577	54.5005	-147.25	0.16443	15.7712	227
DATA	1671123704	126441001	11387	0	2022-12-15	12:01:44	6033.04	473.426	2062.94	39.4619	55.0008	25.163	43.6548	0.00162702	12.2586	54.5013	-112.75	0.16443	15.7712	184
DATA	1671123705	126441001	11391	0	2022-12-15	12:01:45	6032.91	473.492	2062.75	39.4623	55.001	25.1638	43.6548	0.00162016	12.2579	54.5013	-255.75	0.16443	15.7775	201
DATA	1671123706	126441001	11395	0	2022-12-15	12:01:46	6034.69	474.272	2062.87	39.4635	55.001	25.1625	43.6546	0.00162642	12.2579	54.5013	-102.25	0.16443	15.7794	203
DATA	1671123707	126441001	11399	0	2022-12-15	12:01:47	6034.39	477.369	2062.65	39.4631	55.001	25.1621	43.6544	0.00163807	12.2581	54.5013	-224	0.16443	15.7798	 59
DATA	1671123708	126441001	11403	0	2022-12-15	12:01:48	6033.77	488.285	2062.76	39.4619	55.001	25.163	43.6544	0.0016317	12.2582	54.5013	-76	0.16443	15.7798	166
DATA	1671123709	126085996	11407	0	2022-12-15	12:01:49	6033.74	514.765	2062.66	39.4627	55.001	25.1605	43.6546	0.00165016	12.2579	54.5005	-155.25	0.16443	15.7802	220
DATA	1671123710	126085996	11411	0	2022-12-15	12:01:50	6033.72	540.434	2062.86	39.4619	55.001	25.1605	43.6546	0.00164649	12.2584	54.5005	-112.25	0.16443	15.7759	203
DATA	1671123711	126085996	11415	0	2022-12-15	12:01:51	6035.6	556.662	2062.54	39.4619	55.001	25.1601	43.6548	0.0016407	12.2583	54.5005	-28.25	0.16443	15.772	  0
DATA	1671123712	126085996	11419	0	2022-12-15	12:01:52	6039.21	563.731	2062.82	39.4627	55.001	25.1605	43.6548	0.00163542	12.2581	54.5	-13.75	0.16443	15.772	209
DATA	1671123713	126085996	11423	0	2022-12-15	12:01:53	6043.34	565.32	2062.79	39.4635	55.001	25.1605	43.6548	0.0016351	12.2568	54.4998	-61	0.16443	15.772	128
DATA	1671123714	126085996	11427	0	2022-12-15	12:01:54	6046.18	564.531	2062.82	39.4623	55.001	25.1613	43.6548	0.00164044	12.2579	54.4998	171	0.16443	15.7724	 34
DATA	1671123715	126085996	11431	0	2022-12-15	12:01:55	6049.73	569.095	2062.71	39.4623	55.001	25.1617	43.6544	0.00163537	12.2577	54.4998	-140	0.16443	15.7716	 89
